sku_id,date,quantity_demanded,location_id
SKU_101,2026-06-01,73,LOC_NORTH
SKU_101,2026-06-02,75,LOC_NORTH
SKU_101,2026-06-03,76,LOC_NORTH
SKU_101,2026-06-04,75,LOC_SOUTH
SKU_101,2026-06-05,62,LOC_NORTH
SKU_101,2026-06-06,59,LOC_SOUTH
SKU_101,2026-06-07,64,LOC_SOUTH
SKU_101,2026-06-08,70,LOC_SOUTH
SKU_101,2026-06-09,86,LOC_NORTH
SKU_101,2026-06-10,89,LOC_SOUTH
SKU_101,2026-06-11,76,LOC_NORTH
SKU_101,2026-06-12,65,LOC_SOUTH
SKU_101,2026-06-13,61,LOC_SOUTH
SKU_101,2026-06-14,63,LOC_NORTH
SKU_101,2026-06-15,73,LOC_NORTH
SKU_101,2026-06-16,80,LOC_NORTH
SKU_101,2026-06-17,84,LOC_NORTH
SKU_101,2026-06-18,81,LOC_NORTH
SKU_101,2026-06-19,58,LOC_SOUTH
SKU_101,2026-06-20,68,LOC_NORTH
SKU_101,2026-06-21,61,LOC_SOUTH
SKU_101,2026-06-22,69,LOC_NORTH
SKU_101,2026-06-23,86,LOC_NORTH
SKU_101,2026-06-24,84,LOC_SOUTH
SKU_101,2026-06-25,71,LOC_SOUTH
SKU_101,2026-06-26,67,LOC_SOUTH
SKU_101,2026-06-27,56,LOC_SOUTH
SKU_101,2026-06-28,64,LOC_SOUTH
SKU_101,2026-06-29,62,LOC_SOUTH
SKU_101,2026-06-30,76,LOC_SOUTH
SKU_101,2026-07-01,79,LOC_SOUTH
SKU_101,2026-07-02,84,LOC_NORTH
SKU_101,2026-07-03,72,LOC_NORTH
SKU_101,2026-07-04,64,LOC_SOUTH
SKU_101,2026-07-05,67,LOC_SOUTH
SKU_101,2026-07-06,82,LOC_SOUTH
SKU_101,2026-07-07,82,LOC_NORTH
SKU_101,2026-07-08,86,LOC_NORTH
SKU_101,2026-07-09,74,LOC_NORTH
SKU_101,2026-07-10,67,LOC_NORTH
SKU_101,2026-07-11,55,LOC_SOUTH
SKU_101,2026-07-12,60,LOC_SOUTH
SKU_101,2026-07-13,79,LOC_NORTH
SKU_101,2026-07-14,86,LOC_NORTH
SKU_101,2026-07-15,86,LOC_SOUTH
SKU_101,2026-07-16,82,LOC_NORTH
SKU_101,2026-07-17,70,LOC_NORTH
SKU_101,2026-07-18,71,LOC_SOUTH
SKU_101,2026-07-19,75,LOC_NORTH
SKU_101,2026-07-20,70,LOC_NORTH
SKU_101,2026-07-21,75,LOC_NORTH
SKU_101,2026-07-22,89,LOC_NORTH
SKU_101,2026-07-23,82,LOC_NORTH
SKU_101,2026-07-24,71,LOC_NORTH
SKU_101,2026-07-25,61,LOC_SOUTH
SKU_101,2026-07-26,72,LOC_NORTH
SKU_101,2026-07-27,75,LOC_NORTH
SKU_101,2026-07-28,79,LOC_NORTH
SKU_101,2026-07-29,86,LOC_NORTH
SKU_101,2026-07-30,86,LOC_SOUTH
SKU_101,2026-07-31,68,LOC_NORTH
SKU_101,2026-08-01,69,LOC_NORTH
SKU_101,2026-08-02,62,LOC_NORTH
SKU_101,2026-08-03,78,LOC_SOUTH
SKU_101,2026-08-04,93,LOC_SOUTH
SKU_101,2026-08-05,91,LOC_SOUTH
SKU_101,2026-08-06,74,LOC_NORTH
SKU_101,2026-08-07,77,LOC_SOUTH
SKU_101,2026-08-08,60,LOC_SOUTH
SKU_101,2026-08-09,68,LOC_SOUTH
SKU_101,2026-08-10,76,LOC_NORTH
SKU_101,2026-08-11,89,LOC_SOUTH
SKU_101,2026-08-12,91,LOC_NORTH
SKU_101,2026-08-13,81,LOC_NORTH
SKU_101,2026-08-14,67,LOC_SOUTH
SKU_101,2026-08-15,63,LOC_SOUTH
SKU_101,2026-08-16,64,LOC_NORTH
SKU_101,2026-08-17,93,LOC_NORTH
SKU_101,2026-08-18,82,LOC_NORTH
SKU_101,2026-08-19,84,LOC_SOUTH
SKU_101,2026-08-20,84,LOC_SOUTH
SKU_101,2026-08-21,67,LOC_NORTH
SKU_101,2026-08-22,69,LOC_SOUTH
SKU_101,2026-08-23,71,LOC_SOUTH
SKU_101,2026-08-24,84,LOC_NORTH
SKU_101,2026-08-25,92,LOC_NORTH
SKU_101,2026-08-26,89,LOC_NORTH
SKU_101,2026-08-27,85,LOC_NORTH
SKU_101,2026-08-28,81,LOC_SOUTH
SKU_101,2026-08-29,63,LOC_SOUTH
SKU_102,2026-06-01,81,LOC_NORTH
SKU_102,2026-06-02,70,LOC_SOUTH
SKU_102,2026-06-03,80,LOC_NORTH
SKU_102,2026-06-04,72,LOC_NORTH
SKU_102,2026-06-05,66,LOC_SOUTH
SKU_102,2026-06-06,69,LOC_SOUTH
SKU_102,2026-06-07,70,LOC_SOUTH
SKU_102,2026-06-08,70,LOC_NORTH
SKU_102,2026-06-09,79,LOC_SOUTH
SKU_102,2026-06-10,75,LOC_NORTH
SKU_102,2026-06-11,74,LOC_SOUTH
SKU_102,2026-06-12,71,LOC_NORTH
SKU_102,2026-06-13,66,LOC_SOUTH
SKU_102,2026-06-14,67,LOC_SOUTH
SKU_102,2026-06-15,74,LOC_SOUTH
SKU_102,2026-06-16,67,LOC_NORTH
SKU_102,2026-06-17,87,LOC_SOUTH
SKU_102,2026-06-18,80,LOC_NORTH
SKU_102,2026-06-19,77,LOC_NORTH
SKU_102,2026-06-20,64,LOC_SOUTH
SKU_102,2026-06-21,55,LOC_NORTH
